R&D Spend,Administration,Marketing Spend,State,Profit,Total_Expenses,Estimated_Revenue,Monthly_Burn_Rate,Estimated_Runway_months,Marketing_Efficiency,Estimated_LTV
165349.2,136897.8,471784.1,New York,192261.83,774031.1,966292.9299999999,64502.59166666667,1.7365602885982232,0.4075207918198176,192261.83
162597.7,151377.59,443898.53,California,191792.06,757873.8200000001,949665.8800000001,63156.15166666667,1.7735824024109978,0.4320628410281061,191792.06
153441.51,101145.55,407934.54,Florida,191050.39,662521.6,853571.99,55210.13333333333,2.0288420338295388,0.46833590016672777,191050.39
144372.41,118671.85,383199.62,New York,182901.99,646243.88,829145.87,53853.65666666667,2.079944912437701,0.47730211736640027,182901.99
142107.34,91391.77,366168.42,Florida,166187.94,599667.53,765855.47,49972.29416666667,2.2414948336455707,0.45385656141509967,166187.94
131876.9,99814.71,362861.36,New York,156991.12,594552.97,751544.09,49546.08083333333,2.2607769840927716,0.43264766466178706,156991.12
134615.46,147198.87,127716.82,California,156122.51,409531.14999999997,565653.6599999999,34127.59583333333,3.28217199204505,1.2224115038254162,156122.51
130298.13,145530.06,323876.68,Florida,155752.6,599704.87,755457.47,49975.40583333333,2.2413552693010486,0.48090094044436915,155752.6
120542.52,148718.95,311613.29,New York,152211.77,580874.76,733086.53,48406.23,2.3140128698310116,0.48846366597522206,152211.77
123334.88,108679.17,304981.62,California,149759.96,536995.6699999999,686755.6299999999,44749.63916666666,2.5030959195630023,0.49104585384522514,149759.96
101913.08,110594.11,229160.95,Florida,146121.95,441668.14,587790.0900000001,36805.67833333334,3.043352120440474,0.637638960739166,146121.95
100671.96,91790.61,249744.55,California,144259.4,442207.12,586466.52,36850.59333333333,3.0396427592572466,0.5776278201065849,144259.4
93863.75,127320.38,249839.44,Florida,141585.52,471023.57,612609.09,39251.964166666665,2.8536823972524354,0.5667060412879568,141585.52
91992.39,135495.07,252664.93,California,134307.35,480152.39,614459.74,40012.699166666665,2.7994272201789943,0.5315630863373085,134307.35
119943.24,156547.42,256512.92,Florida,132602.65,533003.5800000001,665606.2300000001,44416.965000000004,2.5218436063787792,0.5169433570831441,132602.65
114523.61,122616.84,261776.23,New York,129917.04,498916.68000000005,628833.7200000001,41576.39000000001,2.694140573532238,0.49629043859329774,129917.04
78013.11,121597.55,264346.06,California,126992.93,463956.72,590949.6499999999,38663.06,2.8971488340550393,0.48040409605499695,126992.93
94657.16,145077.58,282574.31,New York,125370.37,522309.05,647679.4199999999,43525.754166666666,2.5734795719124537,0.4436722149299418,125370.37
91749.16,114175.79,294919.57,Florida,124266.9,500844.52,625111.42,41737.043333333335,2.683770345335914,0.42135860973891964,124266.9
86419.7,153514.11,0.0,New York,122776.86,239933.81,362710.67,19994.484166666665,5.602176993730064,inf,122776.86
76253.86,113867.3,298664.47,California,118474.03,488785.63,607259.66,40732.135833333334,2.749981971442164,0.3966793572733978,118474.03
78389.47,153773.43,299737.29,New York,111313.02,531900.19,643213.21,44325.01583333333,2.5270749957806937,0.3713686074895787,111313.02
73994.56,122782.75,303319.26,Florida,110352.25,500096.57,610448.8200000001,41674.714166666665,2.6877842221553334,0.3638155058139071,110352.25
67532.53,105751.03,304768.73,Florida,108733.99,478052.29,586786.28,39837.690833333334,2.8117251993500547,0.356775414590598,108733.99
77044.01,99281.34,140574.81,New York,108552.04,316900.16,425452.19999999995,26408.346666666665,4.241561980909067,0.7722012215417542,108552.04
64664.71,139553.16,137962.62,California,107404.34,342180.49,449584.82999999996,28515.040833333333,3.928194942967088,0.7785031916616254,107404.34
75328.87,144135.98,134050.07,Florida,105733.54,353514.92000000004,459248.46,29459.57666666667,3.8022487718481583,0.7887615426086685,105733.54
72107.6,127864.55,353183.81,New York,105008.31,553155.96,658164.27,46096.329999999994,2.429968702497575,0.2973191494819652,105008.31
66051.52,182645.56,118148.2,Florida,103282.38,366845.28,470127.66000000003,30570.440000000002,3.6640833170867024,0.8741765003614106,103282.38
65605.48,153032.06,107138.38,New York,101004.64,325775.92,426780.56,27147.993333333332,4.126000689062593,0.942749367686911,101004.64
61994.48,115641.28,91131.24,Florida,99937.59,268767.0,368704.58999999997,22397.25,5.00117823393497,1.096633711996018,99937.59
61136.38,152701.92,88218.23,New York,97483.56,302056.53,399540.09,25171.377500000002,4.450000370460457,1.1050273849293961,97483.56
63408.86,129219.61,46085.25,California,97427.84,238713.72,336141.56,19892.81,5.630810287737128,2.114078582626762,97427.84
55493.95,103057.49,214634.81,Florida,96778.92,373186.25,469965.17,31098.854166666668,3.601825282683915,0.4509003921591283,96778.92
46426.07,157693.92,210797.67,California,96712.8,414917.66000000003,511630.46,34576.47166666667,3.2395624481252496,0.45879444492911137,96712.8
46014.02,85047.44,205517.64,New York,96479.51,336579.1,433058.61,28048.25833333333,3.993568437255909,0.4694463696644239,96479.51
28663.76,127056.21,201126.82,Florida,90708.19,356846.79000000004,447554.98000000004,29737.232500000002,3.7667472654020515,0.45099997106303374,90708.19
44069.95,51283.14,197029.42,California,89949.14,292382.51,382331.65,24365.209166666667,4.597236922276918,0.456526441584206,89949.14
20229.59,65947.93,185265.1,New York,81229.06,271442.62,352671.68,22620.218333333334,4.951881434094617,0.4384477162725197,81229.06
38558.51,82982.09,174999.3,California,81005.76,296539.9,377545.66000000003,24711.658333333336,4.532785201586701,0.46289190871049196,81005.76
28754.33,118546.05,172795.67,California,78239.91,320096.05000000005,398335.9600000001,26674.670833333337,4.199213549807941,0.4527886028625601,78239.91
27892.92,84710.77,164470.71,Florida,77798.83,277074.4,354873.23000000004,23089.533333333336,4.8512301042608055,0.4730254402136405,77798.83
23640.93,96189.63,148001.11,California,71498.49,267831.67,339330.16,22319.305833333332,5.018643502465561,0.483094282198289,71498.49
15505.73,127382.3,35534.17,New York,69758.98,178422.2,248181.18,14868.516666666668,7.533544987114833,1.963152087131907,69758.98
22177.74,154806.14,28334.72,California,65200.33,205318.6,270518.93,17109.883333333335,6.546662944321655,2.3010755003049264,65200.33
1000.23,124153.04,1903.93,New York,64926.08,127057.19999999998,191983.27999999997,10588.099999999999,10.57910665747396,34.10108564915727,64926.08
1315.46,115816.21,297114.46,Florida,49490.75,414246.13,463736.88,34520.510833333334,3.244814068389728,0.1665713274271471,49490.75
0.0,135426.92,0.0,California,42559.73,135426.92,177986.65000000002,11285.576666666668,9.925291591952325,inf,42559.73
542.05,51743.15,0.0,New York,35673.41,52285.200000000004,87958.61000000002,4357.1,25.708071699065894,inf,35673.41
0.0,116983.8,45173.06,California,14681.4,162156.86,176838.25999999998,13513.071666666665,8.289206330216313,0.3250034423171687,14681.4
